time_start,time_end,FR_rps,FL_rps,BR_rps,BL_rps
0.000,0.099,2.392313,-2.357572,-2.357572,2.392313
0.099,0.198,2.392313,-2.357572,-2.357572,2.392313
0.198,0.297,2.392313,-2.357572,-2.357572,2.392313
0.297,0.396,2.392313,-2.357572,-2.357572,2.392313
0.396,0.495,2.392313,-2.357572,-2.357572,2.392313
0.495,0.594,2.392313,-2.357572,-2.357572,2.392313
0.594,0.693,2.392313,-2.357572,-2.357572,2.392313
0.693,0.792,2.392313,-2.357572,-2.357572,2.392313
0.792,0.891,2.392313,-2.357572,-2.357572,2.392313
0.891,0.990,2.392313,-2.357572,-2.357572,2.392313
0.990,1.089,2.392313,-2.357572,-2.357572,2.392313
1.089,1.188,2.392313,-2.357572,-2.357572,2.392313
1.188,1.287,2.392313,-2.357572,-2.357572,2.392313
1.287,1.386,2.392313,-2.357572,-2.357572,2.392313
1.386,1.485,2.392313,-2.357572,-2.357572,2.392313
1.485,1.582,2.500000,-0.484060,-0.484060,2.500000
1.582,1.679,2.500000,-0.484060,-0.484060,2.500000
1.679,1.776,2.500000,-0.484060,-0.484060,2.500000
1.776,1.874,2.500000,-0.484060,-0.484060,2.500000
1.874,1.971,2.500000,-0.484060,-0.484060,2.500000
1.971,2.068,2.500000,-0.484060,-0.484060,2.500000
2.068,2.166,2.500000,-0.484060,-0.484060,2.500000
2.166,2.263,2.500000,-0.484060,-0.484060,2.500000
2.263,2.360,2.500000,-0.484060,-0.484060,2.500000
2.360,2.457,2.500000,-0.484060,-0.484060,2.500000
2.457,2.555,2.500000,-0.484060,-0.484060,2.500000
2.555,2.652,2.500000,-0.484060,-0.484060,2.500000
2.652,2.749,2.500000,-0.484060,-0.484060,2.500000
2.749,2.846,2.500000,-0.484060,-0.484060,2.500000
2.846,2.944,2.500000,-0.484060,-0.484060,2.500000
2.944,3.041,2.500000,-0.484060,-0.484060,2.500000
3.041,3.138,2.500000,-0.484060,-0.484060,2.500000
3.138,3.236,2.500000,-0.484060,-0.484060,2.500000
3.236,3.333,2.500000,-0.484060,-0.484060,2.500000
3.333,3.430,2.500000,-0.484060,-0.484060,2.500000
3.430,3.527,2.500000,-0.484060,-0.484060,2.500000
3.527,3.625,2.500000,-0.484060,-0.484060,2.500000
3.625,3.722,2.500000,-0.484060,-0.484060,2.500000
3.722,3.819,2.500000,-0.484060,-0.484060,2.500000
3.819,3.916,2.500000,-0.484060,-0.484060,2.500000
3.916,4.014,2.500000,-0.484060,-0.484060,2.500000
4.014,4.111,2.500000,-0.484060,-0.484060,2.500000
4.111,4.210,2.500000,0.767477,0.767477,2.500000
4.210,4.309,2.500000,0.767477,0.767477,2.500000
4.309,4.408,2.500000,0.767477,0.767477,2.500000
4.408,4.508,2.500000,0.767477,0.767477,2.500000
4.508,4.607,2.500000,0.767477,0.767477,2.500000
4.607,4.706,2.500000,0.767477,0.767477,2.500000
4.706,4.805,2.500000,0.767477,0.767477,2.500000
4.805,4.904,2.500000,0.767477,0.767477,2.500000
4.904,5.003,2.500000,0.767477,0.767477,2.500000
5.003,5.102,2.500000,0.767477,0.767477,2.500000
5.102,5.201,2.500000,0.767477,0.767477,2.500000
5.201,5.301,2.500000,0.767477,0.767477,2.500000
5.301,5.400,2.500000,0.767477,0.767477,2.500000
5.400,5.499,2.500000,0.767477,0.767477,2.500000
5.499,5.598,2.500000,0.767477,0.767477,2.500000
5.598,5.697,2.500000,0.767477,0.767477,2.500000
5.697,5.794,2.500000,1.462562,1.462562,2.500000
5.794,5.892,2.500000,1.462562,1.462562,2.500000
5.892,5.989,2.500000,1.462562,1.462562,2.500000
5.989,6.087,2.500000,1.462562,1.462562,2.500000
6.087,6.184,2.500000,1.462562,1.462562,2.500000
6.184,6.282,2.500000,1.462562,1.462562,2.500000
6.282,6.379,2.500000,1.462562,1.462562,2.500000
6.379,6.477,2.500000,1.462562,1.462562,2.500000
6.477,6.574,2.500000,1.462562,1.462562,2.500000
6.574,6.671,2.500000,1.462562,1.462562,2.500000
6.671,6.769,2.500000,1.462562,1.462562,2.500000
6.769,6.866,2.500000,1.462562,1.462562,2.500000
6.866,6.964,2.500000,1.462562,1.462562,2.500000
6.964,7.061,2.500000,1.462562,1.462562,2.500000
7.061,7.159,2.500000,1.462562,1.462562,2.500000
7.159,7.256,2.500000,1.462562,1.462562,2.500000
7.256,7.353,2.500000,1.462562,1.462562,2.500000
7.353,7.451,2.500000,1.462562,1.462562,2.500000
7.451,7.548,2.500000,1.462562,1.462562,2.500000
7.548,7.646,2.500000,1.462562,1.462562,2.500000
7.646,7.743,2.500000,1.462562,1.462562,2.500000
7.743,7.841,2.500000,1.462562,1.462562,2.500000
7.841,7.938,2.500000,1.462562,1.462562,2.500000
