Time (s),FL (RPS),FR (RPS),RL (RPS),RR (RPS)
0.00,-1.04,2.50,2.50,-1.04
0.10,-1.04,2.50,2.50,-1.04
0.20,-2.50,2.50,2.50,-2.50
0.30,-0.00,2.50,2.50,-0.00
0.40,-1.04,2.50,2.50,-1.04
0.50,0.00,2.50,2.50,0.00
0.60,-2.50,2.50,2.50,-2.50
0.70,-2.50,2.50,2.50,-2.50
0.80,-2.50,2.50,2.50,-2.50
0.90,-1.04,2.50,2.50,-1.04
1.00,-1.04,2.50,2.50,-1.04
1.10,-1.04,2.50,2.50,-1.04
1.20,-1.04,2.50,2.50,-1.04
1.30,-1.04,2.50,2.50,-1.04
1.40,-0.00,2.50,2.50,-0.00
1.50,-0.00,2.50,2.50,-0.00
1.60,-0.00,2.50,2.50,-0.00
1.70,-0.00,2.50,2.50,-0.00
1.80,1.04,2.50,2.50,1.04
1.90,1.04,2.50,2.50,1.04
2.00,1.04,2.50,2.50,1.04
2.10,1.04,2.50,2.50,1.04
2.20,1.04,2.50,2.50,1.04
2.30,1.04,2.50,2.50,1.04
2.40,1.04,2.50,2.50,1.04
2.50,0.00,2.50,2.50,0.00
2.60,0.00,2.50,2.50,0.00
2.70,0.00,2.50,2.50,0.00
2.80,0.00,2.50,2.50,0.00
2.90,0.00,2.50,2.50,0.00
3.00,0.00,2.50,2.50,0.00
3.10,0.00,2.50,2.50,0.00
3.20,0.00,2.50,2.50,0.00
3.30,0.00,2.50,2.50,0.00
3.40,0.00,2.50,2.50,0.00
3.50,1.04,2.50,2.50,1.04
3.60,0.00,2.50,2.50,0.00
3.70,1.04,2.50,2.50,1.04
3.80,0.00,2.50,2.50,0.00
3.90,1.04,2.50,2.50,1.04
4.00,0.00,2.50,2.50,0.00
4.10,1.04,2.50,2.50,1.04
4.20,0.00,2.50,2.50,0.00
4.30,1.04,2.50,2.50,1.04
4.40,0.00,2.50,2.50,0.00
4.50,1.04,2.50,2.50,1.04
4.60,0.00,2.50,2.50,0.00
4.70,1.04,2.50,2.50,1.04
4.80,0.00,2.50,2.50,0.00
4.90,1.04,2.50,2.50,1.04
5.00,0.00,2.50,2.50,0.00
